test_id,interval_start_utc,interval_end_utc,p_sched_kw,p_actual_mean_kw,p_actual_median_kw,tracking_error_kw,steady_tracking_error_kw,abs_tracking_error_kw,steady_abs_tracking_error_kw,relative_tracking_error,sign_aware_actual_kw,shortfall_kw,steady_shortfall_kw,shortfall_kwh,steady_shortfall_kwh,requested_kwh_abs,delivered_ratio,direction,actual_sample_count,steady_sample_count,interval_usable
1,2022-10-07 15:30:00+00:00,2022-10-07 15:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 15:45:00+00:00,2022-10-07 16:00:00+00:00,2419.205075625934,,,,,,,,,,,,,604.8012689064835,,discharge,0,0,False
1,2022-10-07 16:00:00+00:00,2022-10-07 16:15:00+00:00,-1974.886993545479,,,,,,,,,,,,,493.72174838636977,,charge,0,0,False
1,2022-10-07 16:15:00+00:00,2022-10-07 16:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 16:30:00+00:00,2022-10-07 16:45:00+00:00,2419.205075625934,,,,,,,,,,,,,604.8012689064835,,discharge,0,0,False
1,2022-10-07 16:45:00+00:00,2022-10-07 17:00:00+00:00,2419.205075625934,,,,,,,,,,,,,604.8012689064835,,discharge,0,0,False
1,2022-10-07 17:00:00+00:00,2022-10-07 17:15:00+00:00,2419.2050756259373,,,,,,,,,,,,,604.8012689064843,,discharge,0,0,False
1,2022-10-07 17:15:00+00:00,2022-10-07 17:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 17:30:00+00:00,2022-10-07 17:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 17:45:00+00:00,2022-10-07 18:00:00+00:00,-2520.0,,,,,,,,,,,,,630.0,,charge,0,0,False
1,2022-10-07 18:00:00+00:00,2022-10-07 18:15:00+00:00,2419.205075625934,,,,,,,,,,,,,604.8012689064835,,discharge,0,0,False
1,2022-10-07 18:15:00+00:00,2022-10-07 18:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 18:30:00+00:00,2022-10-07 18:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 18:45:00+00:00,2022-10-07 19:00:00+00:00,-2520.0,,,,,,,,,,,,,630.0,,charge,0,0,False
1,2022-10-07 19:00:00+00:00,2022-10-07 19:15:00+00:00,2318.669876141618,,,,,,,,,,,,,579.6674690354045,,discharge,0,0,False
1,2022-10-07 19:15:00+00:00,2022-10-07 19:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 19:30:00+00:00,2022-10-07 19:45:00+00:00,-137.63209548638343,,,,,,,,,,,,,34.40802387159586,,charge,0,0,False
1,2022-10-07 19:45:00+00:00,2022-10-07 20:00:00+00:00,-2520.0,,,,,,,,,,,,,630.0,,charge,0,0,False
1,2022-10-07 20:00:00+00:00,2022-10-07 20:15:00+00:00,2419.205075625934,,,,,,,,,,,,,604.8012689064835,,discharge,0,0,False
1,2022-10-07 20:15:00+00:00,2022-10-07 20:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 20:30:00+00:00,2022-10-07 20:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 20:45:00+00:00,2022-10-07 21:00:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
