site,station_id,month,field_mode,info_mode,split,cycle_count,session_count
caltech,2-39-123-23,2018-08,measured_no_pilot,M3_current_only,train,19129,86
caltech,2-39-123-557,2018-08,measured_no_pilot,M3_current_only,train,13420,28
caltech,2-39-124-22,2018-08,measured_no_pilot,M3_current_only,train,12810,64
caltech,2-39-124-558,2018-08,measured_no_pilot,M3_current_only,train,4388,15
caltech,2-39-125-21,2018-08,measured_no_pilot,M3_current_only,train,18126,76
caltech,2-39-125-559,2018-08,measured_no_pilot,M3_current_only,train,4961,14
caltech,2-39-126-20,2018-08,measured_no_pilot,M3_current_only,train,15836,61
caltech,2-39-126-560,2018-08,measured_no_pilot,M3_current_only,train,10894,17
caltech,2-39-127-19,2018-08,measured_no_pilot,M3_current_only,train,22367,88
caltech,2-39-127-561,2018-08,measured_no_pilot,M3_current_only,train,3471,12
caltech,2-39-128-18,2018-08,measured_no_pilot,M3_current_only,train,13044,72
caltech,2-39-128-562,2018-08,measured_no_pilot,M3_current_only,train,8368,26
caltech,2-39-129-17,2018-08,measured_no_pilot,M3_current_only,train,20513,82
caltech,2-39-129-563,2018-08,measured_no_pilot,M3_current_only,train,5164,15
caltech,2-39-130-31,2018-08,measured_no_pilot,M3_current_only,train,17914,72
caltech,2-39-130-564,2018-08,measured_no_pilot,M3_current_only,train,5833,19
caltech,2-39-131-30,2018-08,measured_no_pilot,M3_current_only,train,24049,88
caltech,2-39-131-565,2018-08,measured_no_pilot,M3_current_only,train,6819,17
caltech,2-39-138-29,2018-08,measured_no_pilot,M3_current_only,train,19817,84
caltech,2-39-138-566,2018-08,measured_no_pilot,M3_current_only,train,5707,19
caltech,2-39-139-28,2018-08,measured_no_pilot,M3_current_only,train,25776,132
caltech,2-39-139-567,2018-08,measured_no_pilot,M3_current_only,train,3461,10
caltech,2-39-78-360,2018-08,measured_no_pilot,M3_current_only,train,20228,56
caltech,2-39-78-361,2018-08,measured_no_pilot,M3_current_only,train,15048,44
caltech,2-39-78-362,2018-08,measured_no_pilot,M3_current_only,train,14908,39
caltech,2-39-78-363,2018-08,measured_no_pilot,M3_current_only,train,21058,57
caltech,2-39-78-364,2018-08,measured_no_pilot,M3_current_only,train,13517,39
caltech,2-39-78-365,2018-08,measured_no_pilot,M3_current_only,train,18702,61
caltech,2-39-78-366,2018-08,measured_no_pilot,M3_current_only,train,20979,64
caltech,2-39-78-367,2018-08,measured_no_pilot,M3_current_only,train,16990,44
caltech,2-39-79-376,2018-08,measured_no_pilot,M3_current_only,train,17690,48
caltech,2-39-79-377,2018-08,measured_no_pilot,M3_current_only,train,18769,45
caltech,2-39-79-378,2018-08,measured_no_pilot,M3_current_only,train,20127,61
caltech,2-39-79-379,2018-08,measured_no_pilot,M3_current_only,train,35333,61
caltech,2-39-79-380,2018-08,measured_no_pilot,M3_current_only,train,23140,75
caltech,2-39-79-381,2018-08,measured_no_pilot,M3_current_only,train,22838,56
caltech,2-39-79-382,2018-08,measured_no_pilot,M3_current_only,train,13107,39
caltech,2-39-79-383,2018-08,measured_no_pilot,M3_current_only,train,21129,62
caltech,2-39-82-384,2018-08,measured_no_pilot,M3_current_only,train,12,1
caltech,2-39-83-386,2018-08,measured_no_pilot,M3_current_only,train,3062,10
caltech,2-39-83-387,2018-08,measured_no_pilot,M3_current_only,train,1140,10
caltech,2-39-88-24,2018-08,measured_no_pilot,M3_current_only,train,14112,50
caltech,2-39-88-438,2018-08,measured_no_pilot,M3_current_only,train,11724,33
caltech,2-39-89-25,2018-08,measured_no_pilot,M3_current_only,train,24183,82
caltech,2-39-89-439,2018-08,measured_no_pilot,M3_current_only,train,12871,34
caltech,2-39-90-26,2018-08,measured_no_pilot,M3_current_only,train,14664,45
caltech,2-39-90-440,2018-08,measured_no_pilot,M3_current_only,train,15110,29
caltech,2-39-91-437,2018-08,measured_no_pilot,M3_current_only,train,21070,67
caltech,2-39-91-441,2018-08,measured_no_pilot,M3_current_only,train,15068,35
caltech,2-39-92-436,2018-08,measured_no_pilot,M3_current_only,train,17601,42
caltech,2-39-92-442,2018-08,measured_no_pilot,M3_current_only,train,14642,40
caltech,2-39-95-27,2018-08,measured_no_pilot,M3_current_only,train,20552,49
caltech,2-39-95-444,2018-08,measured_no_pilot,M3_current_only,train,11077,26
caltech,2-39-123-23,2018-09,measured_no_pilot,M3_current_only,train,16759,74
caltech,2-39-123-557,2018-09,measured_no_pilot,M3_current_only,train,9769,28
caltech,2-39-124-22,2018-09,measured_no_pilot,M3_current_only,train,16205,58
caltech,2-39-124-558,2018-09,measured_no_pilot,M3_current_only,train,6039,23
caltech,2-39-125-21,2018-09,measured_no_pilot,M3_current_only,train,18209,98
caltech,2-39-125-559,2018-09,measured_no_pilot,M3_current_only,train,4996,16
caltech,2-39-126-20,2018-09,measured_no_pilot,M3_current_only,train,14641,70
caltech,2-39-126-560,2018-09,measured_no_pilot,M3_current_only,train,4695,14
caltech,2-39-127-19,2018-09,measured_no_pilot,M3_current_only,train,19876,86
caltech,2-39-127-561,2018-09,measured_no_pilot,M3_current_only,train,3969,12
caltech,2-39-128-18,2018-09,measured_no_pilot,M3_current_only,train,16321,61
caltech,2-39-128-562,2018-09,measured_no_pilot,M3_current_only,train,9623,21
caltech,2-39-129-17,2018-09,measured_no_pilot,M3_current_only,train,23972,84
caltech,2-39-129-563,2018-09,measured_no_pilot,M3_current_only,train,6496,18
caltech,2-39-130-31,2018-09,measured_no_pilot,M3_current_only,train,18626,89
