layer,pool,split,field_mode,variable,bucket,bucket_rule_source,n_evaluable,n_e1_events,e1_evidence_rate,n_e3_valid_cycles,n_e3_candidates,e3_candidate_rate,daily_candidate_energy_share,a2_elimination,a3_elimination,direction_vs_reference,interpretation_scope,na_reason
evidence,jpl,validation,current_only,recent_var,Q4,train_quartile_ecdf,7060,,,7060,2010,0.284703,0.035233,,,NA,diagnostic,a0_unavailable_current_only;metric_not_applicable
evidence,jpl,validation,current_only,lagged_pilot_actual_ratio,NA,train_quartile_ecdf,0,,,0,0,,,,,NA,insufficient,a0_unavailable_current_only;metric_not_applicable;no_pilot_in_current_only_domain
opportunity,jpl,validation,current_only,n_active_x_elapsed,1|<30,pre_existing_cross,724,,,665,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,1|30-59,pre_existing_cross,578,,,643,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,1|60-119,pre_existing_cross,943,,,960,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,1|120-239,pre_existing_cross,1146,,,1142,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,1|240+,pre_existing_cross,1123,,,1093,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,2-3|<30,pre_existing_cross,324,,,325,5,0.015385,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,2-3|30-59,pre_existing_cross,406,,,358,25,0.069832,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,2-3|60-119,pre_existing_cross,620,,,589,86,0.14601,0.013573,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,2-3|120-239,pre_existing_cross,1080,,,1090,163,0.149541,0.018241,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,2-3|240+,pre_existing_cross,580,,,583,108,0.185249,0.015125,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,4-7|<30,pre_existing_cross,295,,,297,49,0.164983,0.006029,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,4-7|30-59,pre_existing_cross,100,,,85,16,0.188235,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,4-7|60-119,pre_existing_cross,95,,,93,36,0.387097,0.034478,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,4-7|120-239,pre_existing_cross,709,,,701,249,0.355207,0.030371,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,4-7|240+,pre_existing_cross,763,,,872,371,0.425459,0.034157,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,8-15|<30,pre_existing_cross,318,,,309,226,0.731392,0.051073,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,8-15|30-59,pre_existing_cross,84,,,97,71,0.731959,0.046918,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,8-15|60-119,pre_existing_cross,131,,,119,79,0.663866,0.045242,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,8-15|120-239,pre_existing_cross,496,,,472,290,0.614407,0.035158,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,8-15|240+,pre_existing_cross,2652,,,2725,1912,0.701651,0.04426,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,16+|<30,pre_existing_cross,316,,,235,168,0.714894,0.028319,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,16+|30-59,pre_existing_cross,762,,,742,633,0.8531,0.051459,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,16+|60-119,pre_existing_cross,758,,,746,626,0.839142,0.031323,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,16+|120-239,pre_existing_cross,1507,,,1474,1307,0.886703,0.043653,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active_x_elapsed,16+|240+,pre_existing_cross,1705,,,1468,1278,0.870572,0.048309,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active,1,pre_existing,2587,,,2569,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active,2-3,pre_existing,2188,,,2166,370,0.170822,0.025536,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active,4-7,pre_existing,1910,,,1927,662,0.343539,0.028448,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active,8-15,pre_existing,1822,,,1732,1122,0.647806,0.042345,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active,16+,pre_existing,1681,,,1591,1378,0.866122,0.041859,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,elapsed,<30,pre_existing,997,,,919,130,0.141458,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,elapsed,30-59,pre_existing,980,,,980,298,0.304082,0.013152,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,elapsed,60-119,pre_existing,1434,,,1434,476,0.331939,0.024074,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,elapsed,120-239,pre_existing,2986,,,2986,1039,0.347957,0.034276,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,elapsed,240+,pre_existing,6405,,,6399,1589,0.24832,0.029678,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,recent_actual_q90,Q1,train_quartile_ecdf,4112,,,4112,713,0.173395,0.02334,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,recent_actual_q90,Q2,train_quartile_ecdf,1728,,,1728,651,0.376736,0.033354,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,recent_actual_q90,Q3,train_quartile_ecdf,1982,,,1982,923,0.465691,0.035544,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,recent_actual_q90,Q4,train_quartile_ecdf,4900,,,4900,1245,0.254082,0.027436,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
evidence,jpl,test,current_only,recent_var,Q1,train_quartile_ecdf,2558,,,2558,230,0.089914,0.0,,,NA,diagnostic,a0_unavailable_current_only;metric_not_applicable
evidence,jpl,test,current_only,recent_var,Q2,train_quartile_ecdf,3437,,,3437,935,0.27204,0.026083,,,NA,diagnostic,a0_unavailable_current_only;metric_not_applicable
evidence,jpl,test,current_only,recent_var,Q3,train_quartile_ecdf,3386,,,3386,1459,0.430892,0.032724,,,NA,diagnostic,a0_unavailable_current_only;metric_not_applicable
evidence,jpl,test,current_only,recent_var,Q4,train_quartile_ecdf,3341,,,3341,908,0.271775,0.027361,,,NA,diagnostic,a0_unavailable_current_only;metric_not_applicable
evidence,jpl,test,current_only,lagged_pilot_actual_ratio,NA,train_quartile_ecdf,0,,,0,0,,,,,NA,insufficient,a0_unavailable_current_only;metric_not_applicable;no_pilot_in_current_only_domain
opportunity,jpl,test,current_only,n_active_x_elapsed,1|<30,pre_existing_cross,339,,,351,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,test,current_only,n_active_x_elapsed,1|30-59,pre_existing_cross,183,,,192,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
